community,id,dropoffs,next_trip_within_30_minutes
LOOP,32,16617227,0.77869863606003576890
NEAR WEST SIDE,28,8370305,0.76953850546664667536
NEAR NORTH SIDE,8,25588348,0.76652498238651436193
LINCOLN PARK,7,5841700,0.71672920553948336957
WEST TOWN,24,4209863,0.71652640477849279181
NEAR SOUTH SIDE,33,2577737,0.69931726937232153629
LAKE VIEW,6,6576603,0.67878295223233027750
LOGAN SQUARE,22,1647331,0.66541089799196397081
ARMOUR SQUARE,34,200308,0.65348363520178924456
LOWER WEST SIDE,31,258884,0.61099952102099782142
DOUGLAS,35,218029,0.60435538391681840489
NORTH CENTER,5,912370,0.60369696504707519975
HUMBOLDT PARK,23,130365,0.59575806389751850573
UPTOWN,3,1776402,0.58543955703720216483
AVONDALE,21,419313,0.56726121059924209362
EAST GARFIELD PARK,27,45236,0.55754266513396409939
BRIDGEPORT,60,125551,0.53280340260133332271
LINCOLN SQUARE,4,712626,0.51737517295187096738
HERMOSA,20,39587,0.51042008740243009069
OAKLAND,36,22943,0.50821601359891906028
EDGEWATER,77,1103787,0.50442793763651863992
GRAND BOULEVARD,38,60385,0.48374596340150699677
ROSELAND,49,20442,0.48009001076215634478
KENWOOD,39,126921,0.47832903932367378133
NORTH LAWNDALE,29,46174,0.47637198423355134924
IRVING PARK,16,511903,0.45278500028325678888
WEST GARFIELD PARK,26,14194,0.45209243342257291813
ROGERS PARK,1,508880,0.44892509039459204528
FULLER PARK,37,9605,0.43852160333159812598
HYDE PARK,41,455675,0.43668184561365007955
ALBANY PARK,14,286309,0.42514555951786356699
MCKINLEY PARK,59,98416,0.42481913509998374248
BELMONT CRAGIN,19,73792,0.41332393755420641804
WASHINGTON PARK,40,17502,0.40938178493886412981
AUSTIN,25,91287,0.39210402357400287007
PORTAGE PARK,15,167111,0.38289520139308603264
WOODLAWN,42,58384,0.37664428610578240614
NEW CITY,61,31588,0.37346460681271368874
SOUTH LAWNDALE,30,47941,0.37133142821384618594
CLEARING,64,20743,0.36224268427903389095
GREATER GRAND CROSSING,69,23695,0.35450516986706056130
WEST RIDGE,2,454605,0.35443736870469968434
CHATHAM,44,24264,0.35039564787339268051
ARCHER HEIGHTS,57,14202,0.34875369666244190959
ENGLEWOOD,68,16659,0.34263761330211897473
JEFFERSON PARK,11,101134,0.33962861154507880634
SOUTH SHORE,43,53715,0.33580936423717769711
NORTH PARK,13,98915,0.33200222413183035940
BRIGHTON PARK,58,28878,0.33135951243160883718
CALUMET HEIGHTS,48,8630,0.31726535341830822711
AVALON PARK,45,6447,0.30463781603846750427
WEST ELSDON,62,8475,0.30147492625368731563
NORWOOD PARK,10,109115,0.29469825413554506713
MONTCLARE,18,10858,0.29314790937557561245
DUNNING,17,43103,0.28411015474560935434
WEST ENGLEWOOD,67,11250,0.26915555555555555556
WEST LAWN,65,11218,0.26546621501158851845
PULLMAN,50,2829,0.26511134676564156946
BURNSIDE,47,1461,0.26351813826146475017
FOREST GLEN,12,58923,0.25848989358993941245
GAGE PARK,63,10519,0.24945337009221408879
SOUTH CHICAGO,46,13207,0.23949420761717271144
SOUTH DEERING,51,5604,0.23376159885795860100
CHICAGO LAWN,66,13188,0.22588717015468607825
GARFIELD RIDGE,56,1134466,0.22230635382638175141
WASHINGTON HEIGHTS,73,6083,0.21157323688969258590
EDISON PARK,9,19595,0.20903291656034702730
AUBURN GRESHAM,71,12765,0.20759890325107716412
WEST PULLMAN,53,3572,0.19456886898096304591
ASHBURN,70,11527,0.18035915676238396807
OHARE,76,3229490,0.17597825043582732877
MORGAN PARK,75,5963,0.16183129297333556934
RIVERDALE,54,855,0.15906432748538011696
HEGEWISCH,55,1014,0.15680473372781065089
BEVERLY,72,11431,0.12921004286589099816
EAST SIDE,52,2026,0.12043435340572556762
MOUNT GREENWOOD,74,3224,0.10359801488833746898
